word,cosine_before_after
our,0.7554588302761915
as,0.6173312195508623
us,0.5427303303354377
and,0.527118622202446
celebrate,0.5020492366077459
all,0.5013388088057441
safe,0.49061170066294096
from,0.4853482832738407
message,0.48223948170528796
professor,0.4644791453417427
with,0.4471659055349589
to,0.4462196584098359
show,0.4392902806133118
me,0.42594432745621674
i,0.389017581161662
of,0.3737193040525949
this,0.369619778228843
it,0.33939291044459846
if,0.3187875525282831
or,0.3139320494769954
in,0.24908497879756059
for,0.23717790794620688
we,0.20019297855476617
last,0.17635141277805733
the,0.14719973127007327
see,0.14683581859308523
full,0.1386245188324769
doctor,0.10635804886503862
final,0.0798219738794338
days,-0.1477910426283452
springer,-0.2413856531322265
