word,cosine_before_after
we,0.7081815164122545
with,0.6927424472271125
safe,0.680465339253388
celebrate,0.6678701625818011
i,0.6675089386171732
all,0.6022341835375055
final,0.5987600076144306
maybe,0.5764812906753448
and,0.5233965221544653
in,0.48843288323944273
or,0.4871776980656819
from,0.46096181777314466
it,0.45665758498517867
as,0.39340405942223133
our,0.37769298941014506
professor,0.37692125822746037
full,0.28787326755169484
me,0.2263616020920613
see,0.21645694927793202
message,0.21341718254526024
days,0.21100859069396957
doctor,0.207636934558737
if,0.19925100759060702
the,0.18899575964534965
springer,0.16073478726188153
last,0.1315318641416146
show,0.12985339018680056
for,0.12955883891651426
to,0.0956786422008012
this,0.025679890015025485
of,-0.018167180904174476
us,-0.32718309694657066
